tweet_id,author_id,text,created_at,retweets,likes,sentiment,stock_mentions,hashtags,tweet_length,has_url
1865364798398976451,1808313602203607040,@ajaykum54233465 @reliancepower @reliancegroup @anilambani sir your company reliance venture asset management company has invested in #,2024-12-07 11:56:39+00:00,80,0,Neutral,reliance,None,135,0
1865364798193475976,805824234387816448,@lordgichohi btw @sabinachege supported finance bill she is supporting an opressi g agriculture bill she supported adanisupports shish,2024-12-07 11:56:39+00:00,237,0,Positive,adani,None,134,0
1865364795781697586,836519606906990592,@aixbt_agent @pinkpunks__ @peapodsfinance looks like an auditor buying tokens theyll audit pretty obvious conflict of interest but th,2024-12-07 11:56:38+00:00,2,0,Positive,None,None,133,0
1865364794162786643,1788446114565304320,@lordgichohi btw @sabinachege supported finance bill she is supporting an opressi g agriculture bill she supported adanisupports shish,2024-12-07 11:56:38+00:00,237,0,Positive,adani,None,134,0
1865364792954716343,3255685564,@georgeoketch12 @aaroncheruiyot what tribe is sha what tribe is adani deal what tribe is finance bill 2024 what tribe is globetr,2024-12-07 11:56:38+00:00,22,0,Neutral,adani,None,128,0
1865364792736698660,1077422674022780928,@bsindia following hyundai motor indias announcement of a price hike maruti suzuki india mahindra amp mahindra and jsw mg motor have d,2024-12-07 11:56:38+00:00,2,0,Neutral,None,None,134,0
1865364792351048014,1771318666006798336,@solanasensei bullish solana news firedancer will be live soon block limits increasing dynamic issuanceinflation new,2024-12-07 11:56:37+00:00,93,0,Positive,"bullish, inflation",None,116,0
1865364790149071052,1749093856296259584,@vitalikseth @vitalikbuterin @cz_binance how can i not be bullish about this,2024-12-07 11:56:37+00:00,0,0,Neutral,bullish,None,76,0
1865364788186161153,1810297171587346432,@jumboblockchain breaking new heights jnftc hits 10 an incredible 10x surge in just 3 weeks since the ido the #bullish mom,2024-12-07 11:56:36+00:00,2581,0,Positive,bullish,bullish,122,0
1865364787732877499,1303786361959268352,@bjp4india the common link between the adani and pegasus issues is that the material used by the congress party to target the governmen,2024-12-07 11:56:36+00:00,498,0,Negative,adani,None,135,0
1865364786906820911,978623651451990016,@frustcitizen @mrsinha_ trust me or not they are involved in drugs coz they always remain high if your see their statement they,2024-12-07 11:56:36+00:00,4,0,Positive,None,None,127,0
1865364786692706541,1822396972717809664,@bullorochanel i just realized that im too bearish on brett on the right side eth hasnt event broken out which has target of over,2024-12-07 11:56:36+00:00,104,0,Negative,bearish,None,129,0
1865364785631473736,230164040,@rajuparulekar न खत न बह अदन कह व सब सह adani gains 45835 crore thanks to modi government india is shackled by mod,2024-12-07 11:56:36+00:00,260,0,Positive,adani,None,114,0
1865364782674477128,1443949926661058564,@officeofcrsy adani has arrest warrant from us court,2024-12-07 11:56:35+00:00,0,0,Negative,adani,None,52,0
1865364782578126948,27425691,@yaoilowell urianger we must needs reconstruct titan from thine memories wol how many wheels four right urianger i believeth four,2024-12-07 11:56:35+00:00,13275,0,Positive,None,None,129,0
1865364782070530158,1314428950068842497,@otienowill what tribe is 1 sha 2 adani deal 3 finance bill 2024 4 university funding 5 falsehood 6 political gi,2024-12-07 11:56:35+00:00,4037,0,Neutral,adani,None,112,0
1865364780418035803,1813099312861356033,@beatrizsimone91 @blknoiz06 bullish project,2024-12-07 11:56:35+00:00,0,0,Neutral,bullish,None,43,0
1865364777091858781,827937403826479107,@maramafoods to fix your gut start fasting begin with omad then graduate to 48 hours weekly eat salt eat sauerkraut meat,2024-12-07 11:56:34+00:00,34,0,Neutral,None,None,120,0
1865364776618205333,1819604824410976256,@ajaykum54233465 @reliancepower @reliancegroup @anilambani sir your company reliance venture asset management company has invested in #,2024-12-07 11:56:34+00:00,80,0,Neutral,reliance,None,135,0
1865364776345604098,824951827,@kevinbahasbola minim sentuhan di kotak penalti apalagi peluang besar mu dibikin nol big chances pada kunjungannya ke kandang arsenal,2024-12-07 11:56:34+00:00,188,0,Neutral,None,None,133,0
1865364775330279740,217771456,@bjp4india this thread reveals the congressdeep state connection over the last four years every issue on which the congress party h,2024-12-07 11:56:33+00:00,7429,0,Neutral,None,None,131,0
1865364775175094460,1434091228581216258,@altcoingordon there are so many volatile guestimates out there i wont complain with this bullish target,2024-12-07 11:56:33+00:00,0,0,Positive,bullish,None,104,0
1865364775120539885,1544037012474404865,@trotskyism1917 @sharp_wise @nejbidlo @pepsi_marx_ @mladakonzervaa hitler velmi reguloval de facto znarodnoval zbrojovky a podniky ve stratach krupp ig farben siemens byly de iure soukrome podniky ale stat mel na ne nesmirnou moc napr volkswagen byl statni,2024-12-07 11:56:33+00:00,0,0,Neutral,None,None,256,0
