date,sender_id,text
2024-12-06 09:11:32+00:00,-1002181950606,"**𝐓𝐎𝐃𝐀𝐘 𝐁𝐄𝐒𝐓 𝐒𝐏𝐄𝐂𝐈𝐀𝐋 𝐎𝐅𝐅𝐄𝐑 

TODAY'S BEST OFFER BITCOINS DOUBLE MONEY 

💵 PAYTM//GOOGLE PAY/PHONEPE DOUBLING 💵

👉 ₹3000/- AND GET ₹ 10,000/-

👉 ₹5000/- AND GET ₹ 20,000/-

👉 ₹10000/- AND GET ₹30,000/-

👉 ₹15000/- AND GET ₹45,000/-

👉 ₹20000/- AND GET ₹60,000/-

👉 ₹30000/- AND GET ₹90,000/-

👉 ₹50000/- AND GET ₹1.5 lac...

****https://wa.me/+919462823699//?text=*MONEY-INVEST-SIR*♥️****

****https://wa.me/+919462823699//?text=*MONEY-INVEST-SIR*♥️****


💰 MONEY WILL BE CREDITED IN YOUR ACCOUNT UNDER 30-45 MINUTES.**"
2024-12-06 09:11:32+00:00,-1002181950606,"🎉🎉Congratulations 🎉🎉
   
 Payment done ✅
 
Today all investors' payments have been returned with good profits. 👍

Shared Some Screenshots.✅✅

INVEST START NOW 💥💥

https://wa.me/+919462823699/?text=𝐇𝐄𝐋𝐋𝐎_𝐌𝐎𝐍𝐄𝐘_𝐈𝐍𝐕𝐄𝐒𝐓_𝐒𝐈𝐑💰💰✅✅***❤️"
2024-12-06 09:11:32+00:00,-1002181950606,"𝐒𝐚𝐛𝐡𝐢  𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐫𝐬 𝐊𝐚 𝐏𝐚𝐲𝐦𝐞𝐧𝐭 𝐑𝐞𝐭𝐮𝐫𝐧 𝐇𝐨𝐠𝐲𝐚 𝐇𝐚𝐢

𝐒𝐛𝐡𝐢 𝐂𝐡𝐞𝐤 𝐊𝐫𝐥𝐞𝐧𝐚 
𝐊𝐮𝐜𝐡 𝐒𝐜𝐫𝐞𝐞𝐧 𝐬𝐡𝐨𝐭 𝐏𝐚𝐲𝐦𝐞𝐧𝐭 𝐏𝐫𝐨𝐨𝐟 𝐎𝐩𝐞𝐧 𝐌𝐞 𝐃𝐚𝐥𝐞 𝐇𝐚𝐢 

𝐁𝐚𝐤𝐢 𝐉𝐨 𝐑𝐞𝐠𝐮𝐥𝐚𝐫𝐥𝐲 𝐉𝐨𝐢𝐧 𝐡𝐚𝐢 𝐰𝐨 𝐍𝐞𝐱𝐭 𝐏𝐫𝐨𝐜𝐞𝐬𝐬  𝐋𝐞 𝐋𝐞𝐧𝐚 ✔️"
2024-12-06 07:46:50+00:00,-1002181950606,**With fees refund challenge New Hero zero trade giving in our paid premium channel risk 4k & profit 40k ready 😍😍**
2024-12-06 07:46:50+00:00,-1002181950606,"FUTURE LOVERS ❤️❤️ 

BUY DLF FUTURE ABOVE 850 TRG 865-880 SL PAID

**UPDATE 1 -- 854🔥🔥
UPDATE 2 -- 858🚀**🚀

Safe traders can book rest trailing sl ✅"
2024-12-06 07:46:50+00:00,-1002181950606,"STOCK OPTION LOVERS ❤️❤️ 

BUY BAJFINANCE 6700 CE ABOVE 250 TRG 350-450 SL PAID

**UPDATE 1 -- 290**🔥🔥

Safe traders can book rest trailing sl ✅"
2024-12-06 04:58:09+00:00,-1002181950606,"HERO ZERO INDEX OPTION LOVERS ❤️❤️ 

BUY SENSEX 81700 CE ABOVE 160 TRG 340-500-650 SL PAID

**UPDATE 1 -- 230**🔥🔥

Safe traders can book rest trailing sl ✅"
2024-12-06 04:57:46+00:00,-1002181950606,"HERO ZERO INDEX OPTION LOVERS ❤️❤️ 

BUY NIFTY 24750 CE ABOVE 160 TRG 280-380-500 SL PAID

**UPDATE 1 -- 200**🔥🔥

Safe traders can book rest trailing sl ✅"
2024-12-06 04:56:30+00:00,-1002181950606,**With fees refund challenge New Hero zero trade giving in our paid premium channel risk 4k & profit 40k ready 😍😍**
2024-12-06 04:44:36+00:00,-1002181950606,"**HERO ZERO INDEX OPTION LOVERS ❤️❤️ 

BUY SENSEX 81700 CE ABOVE 160 TRG 340-500-650 SL PAID**"
2024-12-06 04:44:24+00:00,-1002181950606,"**HERO ZERO INDEX OPTION LOVERS ❤️❤️ 

BUY NIFTY 24750 CE ABOVE 160 TRG 280-380-500 SL PAID**"
2024-12-06 04:38:49+00:00,-1002181950606,**With fees refund challenge New Hero zero trade giving in our paid premium channel risk 4k & profit 40k ready 😍😍**
2024-12-06 04:16:05+00:00,-1002181950606,"HERO ZERO INDEX OPTION LOVERS ❤️❤️ 

BUY SENSEX 82000 CE ABOVE 180 TRG 340-500-650 SL PAID

**UPDATE 1 -- 220**🔥🔥

Safe traders can book rest trailing sl ✅"
2024-12-06 04:07:15+00:00,-1002181950606,"**HERO ZERO INDEX OPTION LOVERS ❤️❤️ 

BUY SENSEX 82000 CE ABOVE 180 TRG 340-500-650 SL PAID**"
